字头	释义
臧	1<形>好；善。《诗经·邺风·雄雉》：“何用不～？”2<名>男奴隶。《庄子·骈拇》：“～与谷二人相与牧羊，而俱亡其羊。”3<名>通“赃”。通过不下当的手段获得的财物。《后汉书·陈禅传》：“受纳～赂。”
臧	1<名>仓库，后作“藏”。2<名>内脏。《汉书·王吉传》：“吸新吐故以练～。”3<动>通“葬”。埋葬。
臧	<动>通“藏”。收藏；隐藏。《董宣执法》：“文叔为白衣时，～亡匿死，吏不敢至门。”
葬	1<动>掩埋尸体；安葬。《殽之战》：“遂墨以～文公。”2<动>死；葬身。《屈原列传》：“宁赴常流而～乎江鱼腹中耳，又安能以皓皓之白，而蒙世之温蠖乎！”
遭	1<动>遇到。《礼记·曲礼》：“～先生于道，趋而进，下立拱手。”2<动>遭受。《陈情表》：“臣以险衅，夙～闵凶。”3<量>趟；回。《陈州粜米》：“须索见他走一～去。”
糟	1<名>酒渣。屈原《渔夫》：“众人皆醉，何不餔其～而啜其醨。”2<动>用酒和糟腌制食品。《晋书·孔群传》：“公不见肉～腌。更堪久邪。”
凿	1<名>凿子；木工穿孔挖槽用的工具。《庄子·天道》：“释椎～而上。”2<动>开凿；挖掘。《冯谖客孟尝君》：“请为君复～二窟。”《西门豹治邺》：“西门豹即发民～十二渠。”【又】水流冲刷。《雁荡山》：“如大小龙湫、水帘、初月谷之类，皆是水～之穴。”3<名>孔；窍。《周礼·考工记·轮人》：“量其～深，以为轮广。”4<名>洞穴。《汉书·刘向传》：“其后牧儿亡羊，羊入其～。”5<形>穿凿附会。《孟子·离娄下》：“所恶于智者，为其也～。”
早	1<名>早晨。《过小孤山大孤山》：“二日～，行未二里，忽风云腾涌。”2<名>某一时间的开始阶段。花蕊夫人《宫词》：“～春杨柳引长条，倚岸沿堤一面高。”3<副>趁早；早些。《赤壁之战》：“若能以吴，越之众与中国抗衡，不如～与之绝。”4<副>幸而。《水浒传》三十七回：“那大汉失惊道：‘真个是我哥哥！～不做出来！’”
蚤	1<名>跳蚤。李石《续博物志》：“土干则生～，地湿则生蚊。”2<名>通“爪”。指甲。《荀子·大略》：“争利如～甲，而丧其掌。”3<名>通“早”。早晨。《孟子·离娄下》：“～起，施从良人之所之。”4<副>通“早”。早些。《鸿门宴》：“旦日不可不～自来谢项王。”
澡	1<动>洗。《史记·龟策列传》：“以清水～之。”2<动>通“噪”。众人呼叫。《史记·周本纪》：“厉王使妇人裸而～。”
藻	1<名>一种水草。《诗经·召南·采蘋》：“于以采～，于彼行潦。”2<名>文采。《汉书·叙传上》：“摛～如春华。”【又】修饰。《晋书·嵇康传》：“土木形骸。不自～饰。”
皂	1<形>黑。《宋史·舆服志》：“紫地～花。”2<名>奴隶的一个等级。《左传·昭公七年》：“士臣～。”3<名>通“槽”。牛马等牲口的食槽。文天祥《正气歌》：“牛骥同一～。”
造	1<动>到……去。《谭嗣同》：“君径～袁所寓之法华寺。”2<动>制造；建造。《张衡传》：“复～侯风地动仪。”《赤壁赋》：“是～物者之无尽藏也。”3<动>形成。《察变》：“计惟有天～草昧，人功未施。”4<动>制定。《屈原列传》：“怀王使屈原～为宪令。”5<动>做；行。《窦娥冤》：“～恶的享富贵又寿延。”6<名>世；代。《〈黄花冈七十二烈士事略〉序》：“满清末～……”
噪	1<动>许多鸟或虫子乱叫。杜甫《羌村》诗：“柴门鸟雀～，归客千里至。”2<动>喧哗，很多人在一起叫嚷。《北史·流求传》：“勇者三五人出前跳～。”这个意义又写作“譟”【引】毁谤。王充《论衡·累害》：“贞良见妒，高奇见～。”【注】在古代，“噪”和“譟”是两个字，在“喧哗”的意义上两个字相通，在鸟、虫叫的意义上只能写作“噪”。现“譟”简化为“噪”。
燥	<形>干。贾思勰《齐民要术·耕田》：“必须～湿得所为佳。” 
躁	1<形>急躁；不安静。《论语·季氏》：“言未及之而言，谓之～。”2<形>躁动。《兰亭集序》：“虽趣舍万物，静～不同。”3<形>不专心。《劝学》：“蟹六跪而二螯，非蛇蟮之穴无可寄托者，用心～也。”4<形>狡猾。《荀子·富国》：“～者皆化而悫。”
则	1<名>法则；准则。《叔向贺贫》：“宣其德行，顺其宪～。”2<名>榜样。屈原《离骚》：“愿依彭咸之遗～。”3<动>效法。《易经·击辞》：“河山图，洛出书，圣从～之。”4<名>等级。《汉书·叙传》：“坤作地势，高下九～。”5<副>用于加强判断，相当于“乃”、“就是”。《岳阳楼记》：“此～岳阳楼之大观也。”6<副>表示限定范围，相当于“只”、“仅仅”。《两小儿辩日》：“日初出，大如车盖，及日中，～如盘盂。”7<连>表示顺承，相当于“就”、“便”。《寡人之于国也》：“河内凶，～移其民于河东。”8<连>表示转折，相当于“却”、“可是”。《师说》：“爱其子，择师而教之，于其身也，～耻师焉。”9<连>表示后一件事是新发现的情况，相当于“原来已经”。《殽之战》：“郑穆公使视客馆，～束载、厉兵、秣马矣。”10<连>表示假设，相当于“如果”、“假使”。《史记·项羽本纪》：“谨守成皋，～汉欲挑战，慎勿与战。”11<连>表示让步，相当于“倒”、“倒是”。《国语·晋语》：“美～美矣，抑臣亦有惧矣。”⑿<助>无意义。《诗经·齐风·鸡鸣》：“匪鸡～鸣，苍蝇之声。”⒀<助>表示疑问，相当于“呢”。《荀子·宥坐》：“百仞之山，任负车登焉，何～？陵迟故也。”
择	1<动>选择。《〈论语〉六则》：“～其善者而从之，其不善者而改之。”2<名>区别。《齐桓晋文之事》：“王若隐其无罪而就死地，则牛羊何～焉？”
泽	1<名>聚水的洼地。一般指湖沼。《滕五阁序》：“山原旷其盈视，川～纡其骇瞩。”2<名>雨露。《项脊轩志》：“百年老屋，尘泥渗漉，雨～下注。”3<名>津液。《采草药》：“大率用根者，若有宿根，须取无茎叶时采，则津～皆归其根。”4<形>光泽；润泽。《采草药》：“未花时采，则根色鲜～。”5<名>恩惠；好处。《西门豹治邺》：“故西门豹为邺令，名闻天下，～流后世”【又】<名使动>使……得到恩泽。《答司马谏议书》：“未能助上大有为，以膏～斯民。”6<名>内衣。《诗经·秦风·无衣》：“岂曰无衣，与子同～。”
责	1<动>索取。《促织》：“每～一头，辄倾数家之产。”2<动>责令；要求。《促织》：“因～常供。”3<动>责备。《陈情表》：“诏书切峻，～臣逋慢。”4<名>处罚。《促织》：“当其为里正，受扑～时，岂意其至此哉！”5<名>责任。《谭嗣同》：“救护之～，非独足下。”
责	1<名>欠别人的钱财。《冯谖客孟尝君》：“先生不羞，乃有意欲为收～于薛乎？”2<动>讨债。《吕氏春秋·疑似》：“昔也往～于东邑人。”后作“债”。
啧	1<动>争辩；人多口杂。《荀子·正名》：“愚者之言。芴然而粗，～然而不类。”《左传·定公四年》：“会同难，～有烦言，莫之治也。”
帻	<名>头巾。《后汉书·法雄传》：“冠赤～，服绛衣。”《晋书·舆服志》：“文武官皆免冠著～。”
箦	<名>竹席。《史记·范雎蔡泽列传》：“雎详死，即卷以～，置厕中。”
赜	<形>深奥；玄妙。《周易·系辞上》：“探～索隐。”
仄	1<动>倾斜。《后汉书·光武帝纪》：“每日视朝，日～乃罢。”2<形>狭窄。《山中与裴秀才迪书》：“携手赋诗，步～径，临清流也。”3<名>仄声，汉字上、去、入三声的总称。4<名>通“侧”。旁边。《汉书·段会宗传》：“昆山之～。”
昃	1<动>太阳西斜。《汉书·董仲舒传》：“周文王至于日～不暇食。”谢混《游西池》诗：“景～鸣禽集。”太阳过午叫“昃”，又分为“中昃”、“下昃”。“中昃”指未时，即现在下午一至三时。“下昃”指申时，即现在下午三至五时。李白《君子有所思行》：“太阳移中～。”
贼	1<动>伤害。《论语·先进》：“～夫人之子。”2<动>杀害。《左传·宣公二年》：“宣子骤谏，公患之，使钥麑～之。”3<名>刺客。《史记·秦始皇本纪》：“燕王昏乱，其太子丹乃阴令荆轲为～。”4<名>祸患。《论积贮疏》：“淫侈之俗日日紧长，是天下之大～也。”5<名>强盗。《童区寄传》：“～二人得我，我幸皆杀之矣。”6<名>违法乱纪、犯上作乱的人。《赤壁之战》：“操虽托名汉相，其实汉～也。”7<名>偷东西的人。《狱中杂记》：“又可怪者，大盗积～，杀人重囚，气杰旺，染此者十不一二。”8<形>凶残。《书博鸡者事》：“臧使者枉用三尺，以仇一言之憾，固～戾之士哉！”
怎	<代>表疑问。如何；怎么。关汉卿《窦娥冤》三折：“～不将天地也生埋怨。”
谮	<动>说坏话诬陷别人。《荀子·致士》：“残贼加累之～，君子不用。”
曾	1<副>曾经。《陈情表》：“臣侍汤药，未～废离。”《琵琶行》：“同是天涯沦落人，相逢何必～相识。”《永遇乐·京口北固亭怀古》：“斜阳草树，寻常巷陌，人道寄奴～往。”2<形>通“层”。重叠的。陆机《园葵》：“～云无温液，严霜有疑威。”
曾	1<名>与自己隔两代的亲属。如“曾祖”、“曾孙”。《治平篇》：“是高、～时为一户者，至～、元时不分至十户不止。”2<动>通“增”。增加。《生于忧患，死于安乐》：“所以动心忍性，～益其所不能。”3<副>竟然；连……都；甚至。《愚公移山》：“以君之力，～不能损魁父之丘，如太行、王屋何？”《兰亭集序》：“当其欣于所遇，暂得于己，快然自足，～不知老之将至。”4<副>乃；又。《登楼赋》：“虽信美而非吾土兮，～何足以少留。”（少：暂时，稍微。）
增	1<动>增加。《治平篇》：“视六十年以前～十倍焉。”2<动>扩大。《岳阳楼记》：“乃重修岳阳楼，～其旧制。”
增	<形>通“层”。重叠。刘向《说苑·反质》：“宫室台阁，连属～累。”
缯	1<名>丝织品的总称。《汉书·灌婴传》：“灌婴，睢阳贩～者也。”2<名>通“矰”。一种丝绳系住用来射鸟的短箭。《战国策·楚策四》：“不知夫射者方将修其碆卢，治其～缴，将加已乎百仞之上。”
矰	<名>一种丝绳系住用来射鸟的短箭。《庄子·应帝王》：“鸟高飞以避～弋之害。”
罾	1<名>一种用木棍或竹竿做支架的鱼网。屈原《湘夫人》：“～何为兮木上？”2<动>用鱼网捕鱼。《陈涉世家》：“乃丹书帛曰‘陈胜王’，置人所～鱼腹中。”
甑	<名>古代做饭用的一种陶器。贾思勰《齐民要术·作酱》：“于大～中燥蒸之。”
赠	1<动>送。《琵琶行（并序）》：“因为长句，歌以～之。”2<动>死后追封爵位。《五人墓碑记》：“是以蓼州周公，忠义暴于朝廷，～谥美显，荣于身后。”3<动>驱逐；送走。《周礼·春官·占梦》：“乃舍萌于四方，以～恶梦。”
吒	1<动>发怒时大声叫嚷。王逸《九思·疾世》：“忧不暇兮寝食，～增叹兮如雷。”【又】叹息，感叹。郭璞《游仙诗》：“临川哀年迈，抚心独悲～。”
扎	1〈动〉刺。董解元《西厢记》：“不问个是和非，觑僧人便～。”2<动>驻扎。《水浒传》二回：“～下一个山寨。”
扎	通“札”。简牍。《论衡·书解》：“出口为言，集～为文。”
札	1<名>古代用来写字的小木片。《汉书·司马相如传》：“上令尚书给笔～。”2<名>书信。颜延之《赠王太常》诗：“遥怀具短～。”3<名>古时铠甲上的金属叶片。《左传·成公十六年》：“蹲甲射之，彻七～焉。”4<动>因瘟疫而死。《列子·汤问》：“土气和，亡～厉。”
轧	1<动>辗压。李贺《梦天》诗：“玉轮～露湿团光。”【又】特指古代一种压碎人骨节的酷刑。《史记·匈奴列传》：“有罪，小者～，大者死。”2<动>倾轧；排挤。《荀子·议兵》：“常恐天下之一合而～己也。”3<象>张衡《南都赋》：“流湍投濈，砏汃輣～。”
乍	1<副>忽然；突然。《阿房宫赋》：“雷霆～惊，宫车过也。”2<副>刚刚。《满井游记》：“于是冰皮始解，波色～明。”3<副>时而。《汉书·景十三王传》：“～见～没。”
诈	1<动>欺骗。《左传·宣公十五年》：“我无尔～，尔无我虞。”2<名>欺骗。《狼》：“禽兽之变～几何哉？”3<动>假装。《陈涉世家》：“今诚以吾众～自称公子扶苏、项燕为天下倡，宜多应者。”
咤	<名>叹息声。《三国志·蜀书·杨仪传》：“～之音发于五内。”
咤	<动>通“诧”。夸耀。《后汉书·王符传》：“转相夸～。”
栅	1<名>木栅；栅栏。《汉书·段颎传》：“乃遣千人于西县结木为～。”2<名>营寨。《李愬雪夜入蔡州》：“夜至张柴村，尽杀其戍卒，据其～。”3<名>关禽兽的栏圈。陆游《过邻家》：“群散鸡归～。”
斋	1<名>斋戒。在举行祭祀或典礼前整洁身心以示恭敬。《廉颇蔺相如列传》：“秦王度之，终不可强夺，遂许～五日。”2<名>素食。《西游记》第十九回：“我们是行脚僧，遇庄化饭，逢处求～。”3<名>房舍，多指书房、学舍。《陶侃》：“（侃）辄朝运百甓于～外，暮运于～内。”
宅	1<名>住处；所住的房屋。《琵琶行》：“黄芦苦绕～生。”2<动>居于；处于。《尚书·舜典》：“使～百揆。”3<名>墓穴。《礼记·杂记》：“大夫卜～与葬日。”
翟	姓。
翟	1<名>长尾巴的野鸡。李白《山鹧鸪词》：“山鸡～雉来相劝。”2<名>古代乐舞所执的野鸡毛。《诗经·邶风·简兮》：“右手秉～。”3<名>用野鸡毛装饰的衣服、车子、道具等器物。《诗经·卫风·硕人》：“～茀以朝。”4<名>通“狄”。我国古代北部的一个民族。
债	1<名>欠别人的钱财或别人欠的钱。《管子·问》：“问邑之贫人，～而食者几何家。”《史记·孟尝君列传》：“宜以令收～。”2<动>借债。《管子·问》：“邑之贫人～而食者几何家？”
沾	1<动>浸湿。《送杜少府之任蜀州》：“无为在岐路，儿女共～巾。”2<动>布施；施与。《宋书·文帝纪》：“二千石长官，并勤劳王务，宜有～锡。”3<动>沾染。《活板》：“其印自落，殊不～污。”
旃	1<名>赤色的曲柄旗。《汉书·田蚡传》：“立曲～。”这个意义后来又写作“旜”。【又】泛指旌旗。陆机《饮马长城窟行》：“收功单于～。”2“之焉”的合音。“之”是指代词，“焉”是语气词。杨恽《报孙会宗书》：“愿勉～，毋多谈。”3<名>通“毡”。一种毛织物《盐铁论·论功》：“织柳为室，～席为盖。”
邅	<动>转；改变方向。屈原《九歌·湘君》：“～吾道兮洞庭。”
瞻	<动>往上或往前看。《伐檀》：“不狩不猎，胡～尔庭有县貆兮。”
斩	1<动>杀。《荆轲刺秦王》：“左右既前，～荆轲。”2<动>砍。《过秦论》：“～木为兵，揭竿为旗。”3<动>断绝。《诗经·小雅·节南山》：“国既卒～，何不用监。”
展	1<动>伸展。《庄子·盗跖》：“两～其足，案剑瞋目。”2<动>施展。曹植《名都篇》：“余巧兮未～。”3<动>陈列。屈原《东君》：“～诗兮会舞。”4<动>察看；省视。《促织》：“～玩不可晓。”5<形>诚实。《诗经·雄雉》：“～兮君子。”6<副>确实。《诗经·猗嗟》：“～我甥兮。”7<>。《》：“～。”8<>。《》：“～。”9<>。《》：“～。”10<>。《》：“～。”
盏	<名>浅而小的杯子。杜甫《酬孟云卿》诗：“宁辞酒～空。”
崭	见“崭然”。
崭	见“崭岩”。
战	1<动>打仗；作战。《曹刿论战》：“公将～，曹刿请见。”2<名>战争。《曹刿论战》：“夫～，勇气也。”3<动>通“颤”，发抖。《口技》：“于是宾客无不变色离席，奋袖出臂，两股～，几欲先走。”
栈	1<名>竹木编成的牲畜棚或栅栏。《庄子·马蹄》：“编之以皂～。”2<名>在险绝的山上用竹木架成的道路。《战国策·秦策三》：“～道千里，通于蜀汉。”3<名>竹木做成的车。《韩非子·外储说左下》：“孙叔敖相楚，～车牝马。”
绽	1<动>衣缝裂开。《礼记·内则》：“衣裳～裂。”【又】<动>泛指开裂，裂开。杜甫《寄刘峡州伯华使君四十韵》：“凭久乌皮～，簪稀白帽棱。”2<动>缝。古乐府《艳歌行》：“故衣谁为补，新衣谁当～。”
湛	1<动>澄清。陶渊明《辛丑岁七月赴假还江陵夜行涂口》：“凉风起将夕，夜景～虚明。”2<形>浓重。潘岳《籍田赋》：“若～露之晞朝阳。”3<形>深。宋玉《招魂》：“～江水兮上有枫。”
湛	<动>通“沉”。沉没；使沉没。《汉书·贾谊传》：“仄闻屈原兮，自～汨罗。”
湛	<动>浸；渍。《礼记·内则》：“渍，取牛肉必新杀者，薄切之，必绝其理，～诸美酒。”
湛	<形>通“耽”，快乐。《诗经·小雅·常棣》：“兄弟既翕，和乐且～。”
张	1<动>把弦安在弓上。《韩非子·外储说左上》：“夫工人之～弓……”2<动>开弓。《诗经·小雅·吉日》：“既～我弓，既挟我矢。”3<形>紧张；紧。《礼记·杂记》：“一～一弛，文武之道也。”4<动>张开。《促织》：“俄见小虫跃起，～尾伸须。”5<动>张大；扩大。《出师表》：“诚宜开～圣听。”6<动>铺张；夸大。《葫芦僧判断葫芦案》：“只管虚～声势。”7<动>陈列；设置。《群英会蒋干中计》：“大～筵席。”8<动>设置机关罗网以捕取鸟兽。《后汉书·王乔传》：“于是候鸟至，举罗～之。”9<动>纺望。《水浒传》：“在门缝里～时，见智深抢到山门下。”成语有“东张西望”。10<量>《左传·昭公十三年》：“子产以幄幕九～行。”
张	1<形>骄傲自大。《左传·桓公六年》：“随～，必弃小国。”2<形>通“胀”，肚内膨胀。《左传·成公十年》：“(晋侯)将食，～，如厕。”3<动〉涨；布满。《赤壁之战》：“顷之，烟炎～天。”4<名>通“帐”，帷帐。《荀子·正论》：“居则设～容，负依而坐。”
章	1<量>音乐的一曲。《史记·吕后本纪》：“王乃为歌诗四～，令乐人歌之。”2<量>文章或作品的一篇。《赤壁赋》：“诵明月之诗，歌窈窕之～。”3<名>文章。《三国志·陈思王植传》：“下笔成～。”4<名>法令规章。《史记·高祖本纪》：“与父老约，法三～耳。”5<名>奏章。《狱中杂记》：“是无难，别具本～。”6<名>印章。《核舟记》：“又用篆～一，文曰‘初平山人’。”7<名>花纹。《捕蛇者说》：“黑质而白～。”8<形>明显；鲜明。《甘藷疏序》：“足以活人者多矣。或隐弗～。”9<动>表扬。《商君书·说民》：“～善则过匿。”后来写作“彰”。
彰	1<形>明显；显著。《柳毅传》：“赖明君子信义昭～，至达远冤。”2<动>显示；揭露。《出师表》：“若无兴德之言，则责攸之、祎、允等之慢，以～其咎。”3<动>表彰。《淮南子·览冥》：“然而不～其功，不扬其声。”
璋	<名>一种玉器，形状像半个圭。《诗经·大雅·棫朴》：“济济辟王，左右奉～。”《庄子·马蹄》：“白玉不毁，孰为圭～。”
涨	<动>水面高起来。岑参《江上阻风雨》：“云低岸花掩，水～滩草没。”【引】增高。杜甫《缆船苦风戏题》：“～沙霾草树。”3<>。《》：“～。”
涨	<动>弥漫。《南史·陈武帝纪》：“纵火烧栅，烟尘～天。”
掌	1<名>手掌。《孔雀东南飞》：“阿母大拊～。”2<名>动物的脚掌。《鱼我所欲也》：“熊～，亦我所欲也。”3<动>主管；掌握。《殽之战》：“郑人使我～其北门之管。”
丈	1<量>十尺为一丈。《与朱元思书》：“水皆缥碧，千～见底。”2<动>测量。《左传·襄公九年》：“巡～城。”3<代>对长辈的敬称。《大戴礼·本命》：“～者，长也。”
仗	1<名>刀、剑、戈、戟等武器的总称。《智取生辰纲》：“歇下担～，那十一人都去松林树下睡倒了。”成语有“明火执仗”。2<名>仪仗。《高祖还乡》：“拿着些不曾见过的器～，穿着些大作怪的衣服。”3<动>执，拿。《盐铁论·结和》：“高皇帝～剑定九州。”4<动>依靠；凭借。《赤壁之战》：“将军神武雄才，～父兄之烈。”5<名>宫廷、官府内持兵器作侍卫和表示礼仪的人。《新唐书·仪卫志》：“朝会之～……号衙内五卫。”
帐	1<名>帐子；帐幕。《孔雀东南飞》：“红罗复斗～，四角垂香囊。”2<名>军队的营帐。《失街亭》：“孔明先唤王平入～。”3<名>登记户口或钱财出入的簿子，又写作“账”。《范进中举》：“只恐把铁棍子打完了，也算不到这笔～上来。”
杖	1<名>手杖；拐杖。《茅屋为秋风所破歌》：“归来倚～自叹息。”2<名>挑物的工具。《荷蓧丈人》：“以～荷蓧。”3<名>棍棒。《订鬼》：“病者困剧，身体痛，则谓鬼持箠～殴击之。”4<动>用棍棒打。《书博鸡者事》：“不呼则～其背。”5<动>拄着。《中山狼传》：“遥望老子～藜而来。”
嶂	1<名>像屏障一样陡高的山峰。《三峡》：“重岩叠～，隐天蔽日。”2<名>通“瘴”，见“嶂疠”。
瘴	1<名>瘴气。南方山林中的热空气，从前认为是疟疾等传染病的病原。杜甫《驱竖子摘苍耳》：“江上秋已分，林中～犹剧。”
招	1<动>用手势叫人。《劝学》：“登高而～，臂非加长也。”2<动>招来；招集。《汉书·晁错传》：“上～贤良。”3<动>招致。《伶官传序》：“书曰：‘满～损，谦受益。’”4<动>招待；款待。《五柳先生传》：“或置酒而～之。”5<动>供认。《旧唐书·哀帝纪》：“陈文巨～伏罪款。”6<动>揭示。《国语·周语》：“立于淫乱之国，而好尽言以～人过，怨之本也。”7<名>箭把。《吕氏春秋·本生》：“万人操弓，共射其一～。”
昭	1<形>明显；显著。《柳毅传》：“赖明君子信义～彰，致达远冤。”【又】<动使动>使……昭。《观巴黎油画记》：“所以～炯戒，激众愤，图报也。”2<动>表明。《出师表》：“以～陛下平明之理。”
炤	<动>照耀。《荀子·天论》：“列星随旋，日月递～。”
炤	通“昭”。明显；显著。《诗经·小雅·正月》：“潜虽伏矣，亦孔之～。”
召	1<动>呼唤。《荆轲刺秦王》：“方急时，不及～下兵。”2<动>召见。《张衡传》：“大将军邓陟奇其才，累～不应。”3<动>召集。《陈涉世家》：“号令～三老、豪杰与皆来会计事。”4<动>招致。《吕氏春秋·君守》：“此所谓以阳～阳，以阴～阴。”
兆	1<名>古代占卜时，占卜者观看龟甲烧灼形成的裂纹，用来判断吉凶，这种裂纹就叫兆。《史记·文帝本纪》：“卜之龟，卦～得大横。”【引】预兆；征兆。事情发生前的迹象。《商君书·算地》：“此亡国之～也。”2<动>开始。《左传·哀公元年》：“能布其德，而～其谋。”3<名>祭坛或墓地的界域。《左传·哀公二年》：“素车朴马，无入于～。”4<数>古代以百万或万亿为兆，常用来表示多。《尚书·吕刑》：“～民赖之。”《九章·惜诵》：“又众～之所雠。”
诏	1<名>皇帝的命令、文告。《陈情表》：“臣欲奉～奔驰。”2<动>皇帝下命令。《促织》：“上大喜悦，～赐抚臣名马衣缎。”3<动>告诉。《冯婉贞》：“于是集谢庄少年之精技击者～之。”4<动>召见。《后汉书·冯衍传》：“～伊尹于亳郊兮。”
棹	1<名>划船用长浆。屈原《湘君》：“桂～兮兰枻。”2<名>船。韩愈《答柳州食虾蟆诗》：“哀哉思虑深，未见许回～。”3<动>用浆划船。《归去来兮辞》：“或命巾车，或～孤舟。”
照	1<动>照射；照耀。《陌上桑》：“日出东南隅，～我秦氏楼。”《过零丁洋》：“留取丹心～汗青。”2<动>发出。《滕王阁序》：“邺水朱华，光～临川之笔。”3<名>日光。《桃花扇·哀江南》：“秋水长天人过少，冷清清的落～，剩一树柳弯腰。”4<动>察看。《后汉书·冯勤传》：“忠臣孝子，览～前世，以为镜戒。”5<动>看镜中的影子。《晋书·王衍传》：“在车中揽镜自～。”
肇	<动>开始。《史记·五帝本纪》：“～十有二州，决川。”魏徵《十渐不克终疏》：“～开帝业。”
櫂	1<名>船浆。《九歌·湘君》：“桂～兮兰栧。”【又】指船。班固《西都赋》：“～女讴，鼓吹震。”2<动>用浆划船。张衡《思玄赋》：“～龙舟以济予。”
遮	1<动>拦阻。《书博鸡者事》：“即入闾左呼子弟素健者，得数十人，～豪民于道。”2<动>遮盖。《琵琶行》：“千呼万唤始出来，犹抱琵琶半～面。”
折	1<动>折断。《庖丁解牛》：“族庖月更刀，～也。”【动】被折断。《劝学》：“锲而舍之，朽木不～。”2<形>弯曲。《小石潭记》：“潭西南而望，斗～蛇行，明灭可见。”3<动>拐弯；转弯。《阿房宫赋》：“骊山北构而西～，直走咸阳。”4<动>挫败。《教战守策》：“破其奸谋，而～其骄气。”5<动>折叠。《促织》：“～藏之，归以示成。”
折	<动>损失。《失街亭》：“魏延左冲右突，不得脱身，～兵大半。”
哲	1<形>聪明。《尚书·皋陶谟》：“知人则～。”2<名>才能出众的人。《谏太宗十思疏》：“臣虽下愚，知其不可，而况于明～乎。”
辄	1<副>表示多次重复。“总是”、“往往”的意思。《五柳先生传》：“或置酒而招之，造次～尽，期在必醉。”2<副>表示后面的行为是在前一行为之后紧接着发生的，根据文意可译为“马上”、“于是”、“就”。《促织》：“一鸣～跃去，行且速。”
蛰	<动>动物冬眠，藏起来不食不动。《庄子·天运》：“～虫始作。”
谪	1<动>谴责；责备。《左传·成公十七年》：“国子～我。”2<动>被贬官，降职。《琵琶行》：“～居卧病浔阳城。”3<名>缺点；过失。《老子》：“善言无瑕～。”
摺	1<动>折叠。庾信《镜赋》：“始～屏风，新开户扇。”2<动>折断。《淮南子·修务》：“～胁伤干。”
磔	<动>古代祭祀时，分裂牲畜的肢体。《庄子·盗跖》：“～犬流豕。”【引】<名>一种分裂肢体的刑法。《韩非子·内储说上》：“采金之禁，得而辄辜～于市。”3<象>鸟鸣声。《石钟山记》：“～～云霄间。”
辙	1<名>车轮压出来的痕迹。《曹刿论战》：“下视其～。”2<名>车辆行驰的路线。曹植《赠白马王彪》：“改～登高岗。”3<名>车辆。《<指南录>后序》：“会使～交驰，北邀当国者相见。”
者	1<助>用动词、形容词和动词性词组、形容词性词组的后面，组成一个名词性结构，相当于“……的人（人、事、情况等）”。《归去来兮辞》：“悟已往之不谏，知来～之可追。”2<代>用在数词后面，往往总指上文所提到的人、事、物。翻译时在人、事、物名称前加“个”、“件”、“种”等。《赤壁之战》：“此数～用兵之患也。”3<代>用在名词名词性词组后面，起区别作用，可译作“这样的”、“这个”等，有时不必译出。《齐桓晋文之事》：“王曰：‘然，诚有百姓～。’”4<助>用在句中主语的后面，表示停顿、判断，无实义。《师说》：“师～，所以传道受业解惑也。”5<助>用在因果复句或条件复句偏句的末尾，提示原因或条件。《邹忌讽齐王纳谏》：“吾妻之美我～，私我也。”6<助>用在疑问句全句末，表示疑问语气，相当于“呢”。《鸿门宴》：“客何为～？”7<助>用在时间词后面，起语助作用，可不译。《鸿门宴》：“今～项庄舞剑，其意常在沛公也。”8<助>用某些比况、描写的词语后面，相当于“……的样子”。《黔之驴》：“然往来视之，觉无异能～。”《捕蛇者说》：“言之，貌若甚戚～。”9<助>定语后置的标志。《石钟山记》：“石之铿然有声～，所在皆是也。”
赭	1<名>红土。《管子·地数》：“上有～者，下有铁。”【引】红褐色。《徐霞客游记·滇游日记》：“石色～黄。”2<动>伐去树木，使山光秃秃。《史记·秦始皇本纪》：“于是始皇大怒，使刑徒三千人皆伐湘山树，～其山。”
褶	<名>衣裙上的褶子。张祜《观杭州柘枝》：“看著遍头香袖～，粉屏香帕又重隈。”
褶	<名>夹（衣）。《礼记·玉藻》：“禅为絅，帛为～。”
褶	<名>骑服。《三国志·魏书·崔琰传》：“唯世子燔翳捐～。”
柘	1<名>一种常绿灌木，木材可染黄赤色。陆厥《奉答内兄希叔》：“归来翳桑～，朝夕异凉温。”2<名>通“蔗”，甘蔗。宋玉《招魂》：“有～浆些。”
贞	1<动>占卜。《周礼·春官·天府》：“以～来岁之媺恶。”2<形>坚定，有操守。《史记·赵世家》：“且夫～臣也，难至而节见。”【又】特指封建礼压迫束缚妇女的一种道德观念，指妇女不改嫁等。《史记·田单列传》“～女不更二夫”3<形>正。《尚书·太甲下》：“万邦以～。”
针	1<名>缝纫用的针。《促织》：“遂于蒿莱中侧听徐行，似寻～芥。”2<名>治病用的金属针。《扁鹊见蔡桓公》：“在肌肤，～石之所及也。”
珍	1<名>珠宝之类的东西。《鸿门宴》：“沛公欲王关中，使子婴为相，～宝尽有之。”2<名>珍味；精美的食品。《芋老人传》：“今日堂有炼～，朝分尚食，张筵列鼎。”3<形>宝贵的；珍奇的。《过秦论》：“不爱～器重宝肥饶之地。”4<动>爱护。《左传·文公八年》：“公子遂，～之也。”
桢	1<名>一种质地坚硬的树。《山海经·东山经》：“太山上多金木～木。”2<名>筑土墙时两端竖立的木柱，比喻支柱、骨干。左思《魏都赋》：“师尹爰止，毗代作～。”
